HOG,align_pos,gene_name,gene_codon,genome_coords,poly_nucl,poly_aa
Tbi__HOG_1548,122,TBI_02347-RA,67,4_Tbi_b3v08_scaf000224_pos_71475;4_Tbi_b3v08_scaf000224_pos_71474;4_Tbi_b3v08_scaf000224_pos_71473,fixed,fixed
Tbi__HOG_1548,151,TBI_02347-RA,68,4_Tbi_b3v08_scaf000224_pos_71472;4_Tbi_b3v08_scaf000224_pos_71471;4_Tbi_b3v08_scaf000224_pos_71470,fixed,fixed
Tbi__HOG_1548,152,TBI_02347-RA,69,4_Tbi_b3v08_scaf000224_pos_71469;4_Tbi_b3v08_scaf000224_pos_71468;4_Tbi_b3v08_scaf000224_pos_71467,fixed,fixed
Tbi__HOG_16195,211,TBI_04286-RA,197,4_Tbi_b3v08_scaf002330_pos_50869;4_Tbi_b3v08_scaf002330_pos_50870;4_Tbi_b3v08_scaf002330_pos_50871,fixed,fixed
Tbi__HOG_16195,463,TBI_04286-RA,381,4_Tbi_b3v08_scaf002330_pos_54685;4_Tbi_b3v08_scaf002330_pos_54686;4_Tbi_b3v08_scaf002330_pos_54687,poly,poly
Tbi__HOG_16382,52,TBI_04614-RA,2,4_Tbi_b3v08_scaf005905_pos_20559;4_Tbi_b3v08_scaf005905_pos_20558;4_Tbi_b3v08_scaf005905_pos_20557,fixed,fixed
Tbi__HOG_16382,53,TBI_04614-RA,3,4_Tbi_b3v08_scaf005905_pos_20556;4_Tbi_b3v08_scaf005905_pos_20555;4_Tbi_b3v08_scaf005905_pos_20554,fixed,fixed
Tbi__HOG_16382,54,TBI_04614-RA,4,4_Tbi_b3v08_scaf005905_pos_20553;4_Tbi_b3v08_scaf005905_pos_15470;4_Tbi_b3v08_scaf005905_pos_15469,fixed,fixed
Tbi__HOG_16644,2871,TBI_08969-RA,284,4_Tbi_b3v08_scaf004642_pos_36539;4_Tbi_b3v08_scaf004642_pos_34228;4_Tbi_b3v08_scaf004642_pos_34227,fixed,fixed
Tbi__HOG_16747,931,TBI_07444-RA,32,4_Tbi_b3v08_scaf001395_pos_162850;4_Tbi_b3v08_scaf001395_pos_162849;4_Tbi_b3v08_scaf001395_pos_162848,fixed,fixed
Tbi__HOG_17093,569,TBI_04292-RA,60,4_Tbi_b3v08_scaf002081_pos_31157;4_Tbi_b3v08_scaf002081_pos_31156;4_Tbi_b3v08_scaf002081_pos_31155,fixed,fixed
Tbi__HOG_17102,550,TBI_10562-RA,464,4_Tbi_b3v08_scaf005348_pos_827;4_Tbi_b3v08_scaf005348_pos_826;4_Tbi_b3v08_scaf005348_pos_825,fixed,fixed
Tbi__HOG_17102,551,TBI_10562-RA,465,4_Tbi_b3v08_scaf005348_pos_824;4_Tbi_b3v08_scaf005348_pos_823;4_Tbi_b3v08_scaf005348_pos_822,fixed,fixed
Tbi__HOG_17294,210,TBI_03087-RB,134,4_Tbi_b3v08_scaf000241_pos_157794;4_Tbi_b3v08_scaf000241_pos_157793;4_Tbi_b3v08_scaf000241_pos_157792,fixed,fixed
Tbi__HOG_17294,211,TBI_03087-RB,135,4_Tbi_b3v08_scaf000241_pos_157791;4_Tbi_b3v08_scaf000241_pos_157790;4_Tbi_b3v08_scaf000241_pos_157789,fixed,fixed
Tbi__HOG_17294,213,TBI_03087-RB,137,4_Tbi_b3v08_scaf000241_pos_157785;4_Tbi_b3v08_scaf000241_pos_157784;4_Tbi_b3v08_scaf000241_pos_157783,fixed,fixed
Tbi__HOG_17451,905,TBI_05623-RA,442,4_Tbi_b3v08_scaf003464_pos_77695;4_Tbi_b3v08_scaf003464_pos_77696;4_Tbi_b3v08_scaf003464_pos_77697,fixed,fixed
Tbi__HOG_17451,907,TBI_05623-RA,444,4_Tbi_b3v08_scaf003464_pos_77701;4_Tbi_b3v08_scaf003464_pos_77702;4_Tbi_b3v08_scaf003464_pos_77703,fixed,fixed
Tbi__HOG_17451,908,TBI_05623-RA,445,4_Tbi_b3v08_scaf003464_pos_77704;4_Tbi_b3v08_scaf003464_pos_77705;4_Tbi_b3v08_scaf003464_pos_77706,poly,poly
Tbi__HOG_17488,2806,TBI_05394-RA,1602,4_Tbi_b3v08_scaf005593_pos_1654;4_Tbi_b3v08_scaf005593_pos_1653;4_Tbi_b3v08_scaf005593_pos_1652,fixed,fixed
Tbi__HOG_17488,2808,TBI_05394-RA,1604,4_Tbi_b3v08_scaf005593_pos_1648;4_Tbi_b3v08_scaf005593_pos_1647;4_Tbi_b3v08_scaf005593_pos_1646,fixed,fixed
Tbi__HOG_17488,2828,TBI_05394-RA,1624,4_Tbi_b3v08_scaf005593_pos_1588;4_Tbi_b3v08_scaf005593_pos_1587;4_Tbi_b3v08_scaf005593_pos_1586,poly,fixed
Tbi__HOG_17488,2835,TBI_05394-RA,1631,4_Tbi_b3v08_scaf005593_pos_1567;4_Tbi_b3v08_scaf005593_pos_1566;4_Tbi_b3v08_scaf005593_pos_1565,fixed,fixed
Tbi__HOG_17488,2892,TBI_05394-RA,1688,4_Tbi_b3v08_scaf005593_pos_478;4_Tbi_b3v08_scaf005593_pos_477;4_Tbi_b3v08_scaf005593_pos_476,fixed,fixed
Tbi__HOG_17622,510,TBI_03064-RA,436,4_Tbi_b3v08_scaf001657_pos_8846;4_Tbi_b3v08_scaf001657_pos_8845;4_Tbi_b3v08_scaf001657_pos_8844,fixed,fixed
Tbi__HOG_17945,373,TBI_13302-RA,169,4_Tbi_b3v08_scaf031108_pos_1411;4_Tbi_b3v08_scaf031108_pos_1412;4_Tbi_b3v08_scaf031108_pos_1413,fixed,fixed
Tbi__HOG_17959,372,TBI_07704-RA,10,4_Tbi_b3v08_scaf007936_pos_7418;4_Tbi_b3v08_scaf007936_pos_7417;4_Tbi_b3v08_scaf007936_pos_7416,fixed,fixed
Tbi__HOG_18021,615,TBI_01854-RA,230,4_Tbi_b3v08_scaf000786_pos_40691;4_Tbi_b3v08_scaf000786_pos_40692;4_Tbi_b3v08_scaf000786_pos_40693,poly,poly
Tbi__HOG_18021,841,TBI_01854-RA,434,4_Tbi_b3v08_scaf000786_pos_45679;4_Tbi_b3v08_scaf000786_pos_45680;4_Tbi_b3v08_scaf000786_pos_45783,fixed,fixed
Tbi__HOG_18246,784,TBI_00069-RA,519,4_Tbi_b3v08_scaf000012_pos_367263;4_Tbi_b3v08_scaf000012_pos_367264;4_Tbi_b3v08_scaf000012_pos_367265,fixed,fixed
Tbi__HOG_18343,492,TBI_00665-RA,394,4_Tbi_b3v08_scaf000396_pos_268216;4_Tbi_b3v08_scaf000396_pos_268215;4_Tbi_b3v08_scaf000396_pos_268214,poly,fixed
Tbi__HOG_18343,693,TBI_00665-RA,441,4_Tbi_b3v08_scaf000396_pos_268075;4_Tbi_b3v08_scaf000396_pos_268074;4_Tbi_b3v08_scaf000396_pos_268073,fixed,fixed
Tbi__HOG_18343,694,TBI_00665-RA,442,4_Tbi_b3v08_scaf000396_pos_268072;4_Tbi_b3v08_scaf000396_pos_262551;4_Tbi_b3v08_scaf000396_pos_262550,fixed,fixed
Tbi__HOG_18343,1146,TBI_00665-RA,685,4_Tbi_b3v08_scaf000396_pos_254895;4_Tbi_b3v08_scaf000396_pos_254894;4_Tbi_b3v08_scaf000396_pos_254893,fixed,fixed
Tbi__HOG_18343,1147,TBI_00665-RA,686,4_Tbi_b3v08_scaf000396_pos_254892;4_Tbi_b3v08_scaf000396_pos_254891;4_Tbi_b3v08_scaf000396_pos_254890,fixed,fixed
Tbi__HOG_18343,1148,TBI_00665-RA,687,4_Tbi_b3v08_scaf000396_pos_254889;4_Tbi_b3v08_scaf000396_pos_254888;4_Tbi_b3v08_scaf000396_pos_254887,fixed,fixed
Tbi__HOG_18370,546,TBI_00626-RA,411,4_Tbi_b3v08_scaf000308_pos_220322;4_Tbi_b3v08_scaf000308_pos_220323;4_Tbi_b3v08_scaf000308_pos_220481,fixed,fixed
Tbi__HOG_18570,252,TBI_08652-RA,2,4_Tbi_b3v08_scaf002389_pos_104406;4_Tbi_b3v08_scaf002389_pos_104405;4_Tbi_b3v08_scaf002389_pos_104404,fixed,fixed
Tbi__HOG_18570,253,TBI_08652-RA,3,4_Tbi_b3v08_scaf002389_pos_104403;4_Tbi_b3v08_scaf002389_pos_104402;4_Tbi_b3v08_scaf002389_pos_104401,fixed,fixed
Tbi__HOG_19065,366,TBI_02007-RA,280,4_Tbi_b3v08_scaf001549_pos_27854;4_Tbi_b3v08_scaf001549_pos_27634;4_Tbi_b3v08_scaf001549_pos_27633,fixed,fixed
Tbi__HOG_19065,466,TBI_02007-RA,380,4_Tbi_b3v08_scaf001549_pos_18299;4_Tbi_b3v08_scaf001549_pos_18298;4_Tbi_b3v08_scaf001549_pos_18297,fixed,fixed
Tbi__HOG_19065,630,TBI_02007-RA,521,4_Tbi_b3v08_scaf001549_pos_16148;4_Tbi_b3v08_scaf001549_pos_16147;4_Tbi_b3v08_scaf001549_pos_16146,fixed,fixed
Tbi__HOG_19065,631,TBI_02007-RA,522,4_Tbi_b3v08_scaf001549_pos_16145;4_Tbi_b3v08_scaf001549_pos_16144;4_Tbi_b3v08_scaf001549_pos_16143,fixed,fixed
Tbi__HOG_19574,357,TBI_02850-RA,83,4_Tbi_b3v08_scaf001172_pos_16628;4_Tbi_b3v08_scaf001172_pos_16629;4_Tbi_b3v08_scaf001172_pos_16630,fixed,fixed
Tbi__HOG_19574,358,TBI_02850-RA,84,4_Tbi_b3v08_scaf001172_pos_16631;4_Tbi_b3v08_scaf001172_pos_16632;4_Tbi_b3v08_scaf001172_pos_16633,fixed,fixed
Tbi__HOG_19574,360,TBI_02850-RA,86,4_Tbi_b3v08_scaf001172_pos_16637;4_Tbi_b3v08_scaf001172_pos_16638;4_Tbi_b3v08_scaf001172_pos_16639,fixed,fixed
Tbi__HOG_19903,96,TBI_11508-RA,4,4_Tbi_b3v08_scaf009234_pos_12874;4_Tbi_b3v08_scaf009234_pos_12873;4_Tbi_b3v08_scaf009234_pos_12872,fixed,fixed
Tbi__HOG_19903,97,TBI_11508-RA,5,4_Tbi_b3v08_scaf009234_pos_12871;4_Tbi_b3v08_scaf009234_pos_12870;4_Tbi_b3v08_scaf009234_pos_12869,fixed,fixed
Tbi__HOG_20056,453,TBI_00239-RA,6,4_Tbi_b3v08_scaf000049_pos_195486;4_Tbi_b3v08_scaf000049_pos_195485;4_Tbi_b3v08_scaf000049_pos_195484,fixed,fixed
Tbi__HOG_20056,454,TBI_00239-RA,7,4_Tbi_b3v08_scaf000049_pos_195483;4_Tbi_b3v08_scaf000049_pos_195482;4_Tbi_b3v08_scaf000049_pos_195481,fixed,fixed
Tbi__HOG_20056,455,TBI_00239-RA,8,4_Tbi_b3v08_scaf000049_pos_195480;4_Tbi_b3v08_scaf000049_pos_195479;4_Tbi_b3v08_scaf000049_pos_195478,fixed,fixed
Tbi__HOG_20056,457,TBI_00239-RA,10,4_Tbi_b3v08_scaf000049_pos_195474;4_Tbi_b3v08_scaf000049_pos_195473;4_Tbi_b3v08_scaf000049_pos_195472,fixed,fixed
Tbi__HOG_20056,458,TBI_00239-RA,11,4_Tbi_b3v08_scaf000049_pos_195471;4_Tbi_b3v08_scaf000049_pos_195470;4_Tbi_b3v08_scaf000049_pos_195469,fixed,fixed
Tbi__HOG_20056,459,TBI_00239-RA,12,4_Tbi_b3v08_scaf000049_pos_195468;4_Tbi_b3v08_scaf000049_pos_195467;4_Tbi_b3v08_scaf000049_pos_195466,fixed,fixed
Tbi__HOG_20056,460,TBI_00239-RA,13,4_Tbi_b3v08_scaf000049_pos_195465;4_Tbi_b3v08_scaf000049_pos_195464;4_Tbi_b3v08_scaf000049_pos_195463,fixed,fixed
Tbi__HOG_20056,461,TBI_00239-RA,14,4_Tbi_b3v08_scaf000049_pos_195462;4_Tbi_b3v08_scaf000049_pos_195461;4_Tbi_b3v08_scaf000049_pos_195460,fixed,fixed
Tbi__HOG_20056,462,TBI_00239-RA,15,4_Tbi_b3v08_scaf000049_pos_195459;4_Tbi_b3v08_scaf000049_pos_195458;4_Tbi_b3v08_scaf000049_pos_195457,fixed,fixed
Tbi__HOG_20056,463,TBI_00239-RA,16,4_Tbi_b3v08_scaf000049_pos_195456;4_Tbi_b3v08_scaf000049_pos_195455;4_Tbi_b3v08_scaf000049_pos_195454,fixed,fixed
Tbi__HOG_20056,464,TBI_00239-RA,17,4_Tbi_b3v08_scaf000049_pos_195453;4_Tbi_b3v08_scaf000049_pos_195452;4_Tbi_b3v08_scaf000049_pos_195451,fixed,fixed
Tbi__HOG_20056,465,TBI_00239-RA,18,4_Tbi_b3v08_scaf000049_pos_195450;4_Tbi_b3v08_scaf000049_pos_195449;4_Tbi_b3v08_scaf000049_pos_195448,fixed,fixed
Tbi__HOG_20056,466,TBI_00239-RA,19,4_Tbi_b3v08_scaf000049_pos_195447;4_Tbi_b3v08_scaf000049_pos_195446;4_Tbi_b3v08_scaf000049_pos_195445,fixed,fixed
Tbi__HOG_20056,912,TBI_00239-RA,451,4_Tbi_b3v08_scaf000049_pos_142152;4_Tbi_b3v08_scaf000049_pos_142151;4_Tbi_b3v08_scaf000049_pos_142150,fixed,fixed
Tbi__HOG_20063,312,TBI_03823-RA,4,4_Tbi_b3v08_scaf002175_pos_97453;4_Tbi_b3v08_scaf002175_pos_97452;4_Tbi_b3v08_scaf002175_pos_97451,fixed,fixed
Tbi__HOG_20299,382,TBI_06298-RA,192,4_Tbi_b3v08_scaf000537_pos_142023;4_Tbi_b3v08_scaf000537_pos_142022;4_Tbi_b3v08_scaf000537_pos_142021,fixed,fixed
Tbi__HOG_20299,383,TBI_06298-RA,193,4_Tbi_b3v08_scaf000537_pos_142020;4_Tbi_b3v08_scaf000537_pos_142019;4_Tbi_b3v08_scaf000537_pos_142018,fixed,fixed
Tbi__HOG_20299,384,TBI_06298-RA,194,4_Tbi_b3v08_scaf000537_pos_142017;4_Tbi_b3v08_scaf000537_pos_142016;4_Tbi_b3v08_scaf000537_pos_142015,fixed,fixed
Tbi__HOG_20299,386,TBI_06298-RA,196,4_Tbi_b3v08_scaf000537_pos_142011;4_Tbi_b3v08_scaf000537_pos_142010;4_Tbi_b3v08_scaf000537_pos_142009,fixed,fixed
Tbi__HOG_20299,389,TBI_06298-RA,199,4_Tbi_b3v08_scaf000537_pos_142002;4_Tbi_b3v08_scaf000537_pos_142001;4_Tbi_b3v08_scaf000537_pos_142000,fixed,fixed
Tbi__HOG_20448,208,TBI_01102-RA,37,4_Tbi_b3v08_scaf000345_pos_21050;4_Tbi_b3v08_scaf000345_pos_21049;4_Tbi_b3v08_scaf000345_pos_21048,fixed,fixed
Tbi__HOG_20529,960,TBI_06738-RA,875,4_Tbi_b3v08_scaf003465_pos_10783;4_Tbi_b3v08_scaf003465_pos_10782;4_Tbi_b3v08_scaf003465_pos_10781,fixed,fixed
Tbi__HOG_20529,961,TBI_06738-RA,876,4_Tbi_b3v08_scaf003465_pos_10780;4_Tbi_b3v08_scaf003465_pos_10779;4_Tbi_b3v08_scaf003465_pos_10778,fixed,fixed
Tbi__HOG_20529,969,TBI_06738-RA,878,4_Tbi_b3v08_scaf003465_pos_10774;4_Tbi_b3v08_scaf003465_pos_10773;4_Tbi_b3v08_scaf003465_pos_10772,fixed,fixed
Tbi__HOG_20561,200,TBI_05415-RA,2,4_Tbi_b3v08_scaf002690_pos_88473;4_Tbi_b3v08_scaf002690_pos_88474;4_Tbi_b3v08_scaf002690_pos_88475,fixed,fixed
Tbi__HOG_20561,203,TBI_05415-RA,5,4_Tbi_b3v08_scaf002690_pos_88482;4_Tbi_b3v08_scaf002690_pos_88483;4_Tbi_b3v08_scaf002690_pos_88484,fixed,fixed
Tbi__HOG_20561,205,TBI_05415-RA,7,4_Tbi_b3v08_scaf002690_pos_88488;4_Tbi_b3v08_scaf002690_pos_88489;4_Tbi_b3v08_scaf002690_pos_88490,fixed,fixed
Tbi__HOG_20636,206,TBI_07032-RB,78,4_Tbi_b3v08_scaf004935_pos_44144;4_Tbi_b3v08_scaf004935_pos_44143;4_Tbi_b3v08_scaf004935_pos_44142,fixed,fixed
Tbi__HOG_20847,586,TBI_09809-RA,103,4_Tbi_b3v08_scaf008255_pos_18434;4_Tbi_b3v08_scaf008255_pos_18433;4_Tbi_b3v08_scaf008255_pos_18432,fixed,fixed
Tbi__HOG_20932,250,TBI_08028-RC,108,4_Tbi_b3v08_scaf001662_pos_73959;4_Tbi_b3v08_scaf001662_pos_73960;4_Tbi_b3v08_scaf001662_pos_73961,fixed,fixed
Tbi__HOG_20932,290,TBI_08028-RC,148,4_Tbi_b3v08_scaf001662_pos_74079;4_Tbi_b3v08_scaf001662_pos_87681;4_Tbi_b3v08_scaf001662_pos_87682,fixed,fixed
Tbi__HOG_20932,354,TBI_08028-RC,212,4_Tbi_b3v08_scaf001662_pos_89312;4_Tbi_b3v08_scaf001662_pos_89313;4_Tbi_b3v08_scaf001662_pos_89314,fixed,fixed
Tbi__HOG_20932,385,TBI_08028-RC,215,4_Tbi_b3v08_scaf001662_pos_89321;4_Tbi_b3v08_scaf001662_pos_89322;4_Tbi_b3v08_scaf001662_pos_89323,fixed,fixed
Tbi__HOG_20932,386,TBI_08028-RC,216,4_Tbi_b3v08_scaf001662_pos_89324;4_Tbi_b3v08_scaf001662_pos_89325;4_Tbi_b3v08_scaf001662_pos_89326,fixed,fixed
Tbi__HOG_20932,387,TBI_08028-RC,217,4_Tbi_b3v08_scaf001662_pos_89327;4_Tbi_b3v08_scaf001662_pos_89328;4_Tbi_b3v08_scaf001662_pos_89329,fixed,fixed
Tbi__HOG_20932,388,TBI_08028-RC,218,4_Tbi_b3v08_scaf001662_pos_89330;4_Tbi_b3v08_scaf001662_pos_89331;4_Tbi_b3v08_scaf001662_pos_89332,fixed,fixed
Tbi__HOG_21228,894,TBI_08089-RA,282,4_Tbi_b3v08_scaf000871_pos_138598;4_Tbi_b3v08_scaf000871_pos_138599;4_Tbi_b3v08_scaf000871_pos_138600,fixed,fixed
Tbi__HOG_21228,907,TBI_08089-RA,283,4_Tbi_b3v08_scaf000871_pos_138601;4_Tbi_b3v08_scaf000871_pos_138602;4_Tbi_b3v08_scaf000871_pos_138603,fixed,fixed
Tbi__HOG_21507,663,TBI_03244-RA,149,4_Tbi_b3v08_scaf002306_pos_68391;4_Tbi_b3v08_scaf002306_pos_68392;4_Tbi_b3v08_scaf002306_pos_68393,fixed,fixed
Tbi__HOG_21507,664,TBI_03244-RA,150,4_Tbi_b3v08_scaf002306_pos_68394;4_Tbi_b3v08_scaf002306_pos_68395;4_Tbi_b3v08_scaf002306_pos_68396,fixed,fixed
Tbi__HOG_21507,665,TBI_03244-RA,151,4_Tbi_b3v08_scaf002306_pos_68397;4_Tbi_b3v08_scaf002306_pos_68398;4_Tbi_b3v08_scaf002306_pos_68399,fixed,fixed
Tbi__HOG_21507,669,TBI_03244-RA,155,4_Tbi_b3v08_scaf002306_pos_68409;4_Tbi_b3v08_scaf002306_pos_68410;4_Tbi_b3v08_scaf002306_pos_68411,fixed,fixed
Tbi__HOG_21507,670,TBI_03244-RA,156,4_Tbi_b3v08_scaf002306_pos_68412;4_Tbi_b3v08_scaf002306_pos_68413;4_Tbi_b3v08_scaf002306_pos_68414,fixed,fixed
Tbi__HOG_21507,671,TBI_03244-RA,157,4_Tbi_b3v08_scaf002306_pos_68415;4_Tbi_b3v08_scaf002306_pos_68416;4_Tbi_b3v08_scaf002306_pos_70415,fixed,fixed
Tbi__HOG_21507,710,TBI_03244-RA,165,4_Tbi_b3v08_scaf002306_pos_70437;4_Tbi_b3v08_scaf002306_pos_70438;4_Tbi_b3v08_scaf002306_pos_70439,fixed,fixed
Tbi__HOG_21656,495,TBI_08745-RA,286,4_Tbi_b3v08_scaf000783_pos_44553;4_Tbi_b3v08_scaf000783_pos_44552;4_Tbi_b3v08_scaf000783_pos_44551,fixed,fixed
Tbi__HOG_21656,496,TBI_08745-RA,287,4_Tbi_b3v08_scaf000783_pos_44550;4_Tbi_b3v08_scaf000783_pos_44549;4_Tbi_b3v08_scaf000783_pos_44548,fixed,fixed
Tbi__HOG_21755,167,TBI_00280-RA,5,4_Tbi_b3v08_scaf000274_pos_112934;4_Tbi_b3v08_scaf000274_pos_112935;4_Tbi_b3v08_scaf000274_pos_112936,fixed,fixed
Tbi__HOG_21755,168,TBI_00280-RA,6,4_Tbi_b3v08_scaf000274_pos_112937;4_Tbi_b3v08_scaf000274_pos_112938;4_Tbi_b3v08_scaf000274_pos_112939,fixed,fixed
Tbi__HOG_21755,169,TBI_00280-RA,7,4_Tbi_b3v08_scaf000274_pos_112940;4_Tbi_b3v08_scaf000274_pos_112941;4_Tbi_b3v08_scaf000274_pos_112942,fixed,fixed
Tbi__HOG_21755,171,TBI_00280-RA,9,4_Tbi_b3v08_scaf000274_pos_112946;4_Tbi_b3v08_scaf000274_pos_112947;4_Tbi_b3v08_scaf000274_pos_112948,fixed,fixed
Tbi__HOG_21755,172,TBI_00280-RA,10,4_Tbi_b3v08_scaf000274_pos_112949;4_Tbi_b3v08_scaf000274_pos_112950;4_Tbi_b3v08_scaf000274_pos_112951,fixed,fixed
Tbi__HOG_21771,817,TBI_04171-RA,333,4_Tbi_b3v08_scaf001257_pos_36680;4_Tbi_b3v08_scaf001257_pos_36681;4_Tbi_b3v08_scaf001257_pos_36682,fixed,fixed
Tbi__HOG_22391,839,TBI_11465-RA,148,4_Tbi_b3v08_scaf004514_pos_3593;4_Tbi_b3v08_scaf004514_pos_3592;4_Tbi_b3v08_scaf004514_pos_3591,fixed,fixed
Tbi__HOG_22391,841,TBI_11465-RA,150,4_Tbi_b3v08_scaf004514_pos_3587;4_Tbi_b3v08_scaf004514_pos_3586;4_Tbi_b3v08_scaf004514_pos_3585,fixed,fixed
Tbi__HOG_22391,842,TBI_11465-RA,151,4_Tbi_b3v08_scaf004514_pos_3584;4_Tbi_b3v08_scaf004514_pos_3583;4_Tbi_b3v08_scaf004514_pos_3582,fixed,fixed
Tbi__HOG_22391,843,TBI_11465-RA,152,4_Tbi_b3v08_scaf004514_pos_3581;4_Tbi_b3v08_scaf004514_pos_3580;4_Tbi_b3v08_scaf004514_pos_3579,fixed,fixed
Tbi__HOG_22391,845,TBI_11465-RA,154,4_Tbi_b3v08_scaf004514_pos_3575;4_Tbi_b3v08_scaf004514_pos_3574;4_Tbi_b3v08_scaf004514_pos_3573,fixed,fixed
Tbi__HOG_22391,847,TBI_11465-RA,156,4_Tbi_b3v08_scaf004514_pos_3569;4_Tbi_b3v08_scaf004514_pos_3568;4_Tbi_b3v08_scaf004514_pos_3567,fixed,fixed
Tbi__HOG_22700,444,TBI_08605-RA,3,4_Tbi_b3v08_scaf005298_pos_2998;4_Tbi_b3v08_scaf005298_pos_2999;4_Tbi_b3v08_scaf005298_pos_3000,fixed,fixed
Tbi__HOG_22700,445,TBI_08605-RA,4,4_Tbi_b3v08_scaf005298_pos_3001;4_Tbi_b3v08_scaf005298_pos_3002;4_Tbi_b3v08_scaf005298_pos_3003,fixed,fixed
Tbi__HOG_22857,515,TBI_04859-RA,299,4_Tbi_b3v08_scaf000755_pos_223661;4_Tbi_b3v08_scaf000755_pos_224226;4_Tbi_b3v08_scaf000755_pos_224227,fixed,fixed
Tbi__HOG_22857,516,TBI_04859-RA,300,4_Tbi_b3v08_scaf000755_pos_224228;4_Tbi_b3v08_scaf000755_pos_224229;4_Tbi_b3v08_scaf000755_pos_224230,fixed,fixed
Tbi__HOG_23081,1193,TBI_09710-RA,139,4_Tbi_b3v08_scaf005610_pos_20993;4_Tbi_b3v08_scaf005610_pos_20994;4_Tbi_b3v08_scaf005610_pos_20995,fixed,fixed
Tbi__HOG_23081,1194,TBI_09710-RA,140,4_Tbi_b3v08_scaf005610_pos_20996;4_Tbi_b3v08_scaf005610_pos_20997;4_Tbi_b3v08_scaf005610_pos_20998,fixed,fixed
Tbi__HOG_23423,268,TBI_08483-RA,227,4_Tbi_b3v08_scaf000548_pos_226994;4_Tbi_b3v08_scaf000548_pos_226995;4_Tbi_b3v08_scaf000548_pos_226996,fixed,fixed
Tbi__HOG_23423,269,TBI_08483-RA,228,4_Tbi_b3v08_scaf000548_pos_226997;4_Tbi_b3v08_scaf000548_pos_226998;4_Tbi_b3v08_scaf000548_pos_230947,fixed,fixed
Tbi__HOG_23423,270,TBI_08483-RA,229,4_Tbi_b3v08_scaf000548_pos_230948;4_Tbi_b3v08_scaf000548_pos_230949;4_Tbi_b3v08_scaf000548_pos_230950,fixed,fixed
Tbi__HOG_23423,271,TBI_08483-RA,230,4_Tbi_b3v08_scaf000548_pos_230951;4_Tbi_b3v08_scaf000548_pos_230952;4_Tbi_b3v08_scaf000548_pos_230953,fixed,fixed
Tbi__HOG_23638,370,TBI_09141-RA,22,4_Tbi_b3v08_scaf003758_pos_37571;4_Tbi_b3v08_scaf003758_pos_37570;4_Tbi_b3v08_scaf003758_pos_37569,fixed,fixed
Tbi__HOG_23638,371,TBI_09141-RA,23,4_Tbi_b3v08_scaf003758_pos_37568;4_Tbi_b3v08_scaf003758_pos_37567;4_Tbi_b3v08_scaf003758_pos_37566,fixed,fixed
Tbi__HOG_23638,467,TBI_09141-RA,119,4_Tbi_b3v08_scaf003758_pos_32152;4_Tbi_b3v08_scaf003758_pos_32151;4_Tbi_b3v08_scaf003758_pos_32150,fixed,fixed
Tbi__HOG_24016,1283,TBI_04037-RA,325,4_Tbi_b3v08_scaf001225_pos_78700;4_Tbi_b3v08_scaf001225_pos_78701;4_Tbi_b3v08_scaf001225_pos_78702,fixed,fixed
