# HOG = Hierarchical orthologous group; sequence name given if present as a one-to-one HOG in at least 3 sister sp pairs (else = NA)
# species codes = Tbi = T. bartmani, Tce = T. cristinae, Tps = T. poppensis, Tcm = T. californicum, Tpa = T. podura, Tte = T. tahoe, Tms = T. monikensis, Tdi = T. douglasi, Tsi = T. shepardi, and Tge = T. genevievae
HOG	Tbi	Tte	Tce	Tms	Tcm	Tsi	Tpa	Tge	Tps	Tdi
HOG_19391	TBI_06444-RA	TTE_02216-RA	TCE_03446-RA	TMS_04390-RA	TCM_09249-RA	TSI_03795-RA	TPA_11917-RA	TGE_07182-RA	TPS_01165-RA	TDI_00787-RA
HOG_19390	TBI_02552-RA	TTE_03711-RA	TCE_08033-RA	TMS_07594-RA	TCM_01009-RA	TSI_02972-RA	TPA_11066-RA	TGE_04866-RA	TPS_06935-RA	TDI_06033-RA
HOG_345	TBI_09207-RA	TTE_09808-RA	TCE_06785-RA	TMS_10703-RA	TCM_05446-RA	TSI_09525-RA	TPA_08586-RA	TGE_09675-RA	TPS_11013-RA	TDI_10023-RA
HOG_346	TBI_02502-RA	TTE_03469-RA	TCE_01986-RA	TMS_00961-RA	TCM_01814-RA	TSI_01304-RA	TPA_02710-RA	TGE_00999-RA	TPS_01927-RA	TDI_04900-RA
HOG_22262	TBI_05414-RA	TTE_01548-RA	TCE_10949-RA	TMS_07206-RA	TCM_04028-RA	TSI_02855-RA	TPA_15478-RA	TGE_04554-RA	TPS_05173-RA	TDI_03632-RA
HOG_341	TBI_06316-RA	TTE_09197-RA	TCE_02047-RA	TMS_08375-RA	TCM_07902-RA	TSI_06201-RA	Tpa_TRINITY_DN122086_c0_g1::Tpa_TRINITY_DN122086_c0_g1_i1::g.17401::m.17401	TGE_10653-RA	TPS_10263-RA	TDI_06046-RA
HOG_19409	TBI_00144-RA	TTE_00412-RA	TCE_00492-RA	TMS_01310-RA	TCM_00296-RA	TSI_01995-RA	TPA_03303-RA	TGE_06699-RA	TPS_01155-RB	TDI_00183-RA
HOG_343	TBI_06260-RA	TTE_12311-RA	TCE_00535-RA	Tms_TRINITY_DN14475_c0_g1::Tms_TRINITY_DN14475_c0_g1_i2::g.23126::m.23126	Tcm_TRINITY_DN93706_c0_g1::Tcm_TRINITY_DN93706_c0_g1_i3::g.17379::m.17379	TSI_12443-RA	TPA_01225-RA	TGE_07341-RA	TPS_09958-RA	Tdi_TRINITY_DN20548_c0_g2::Tdi_TRINITY_DN20548_c0_g2_i2::g.20459::m.20459
HOG_14295	TBI_01662-RA	TTE_01441-RA	Tce_TRINITY_DN105635_c1_g1::Tce_TRINITY_DN105635_c1_g1_i1::g.5485::m.5485	TMS_06803-RA	TCM_04777-RA	TSI_02973-RA	TPA_04166-RA	TGE_07730-RA	TPS_06073-RA	TDI_03856-RA
HOG_16838	TBI_08133-RA	TTE_00986-RA	TCE_00272-RA	TMS_00886-RA	Tcm_TRINITY_DN104213_c0_g1::Tcm_TRINITY_DN104213_c0_g1_i1::g.7166::m.7166	TSI_02102-RA	TPA_12767-RA	TGE_07701-RA	TPS_01215-RA	TDI_01336-RA
HOG_20872	TBI_04854-RA	TTE_06440-RA	TCE_03587-RA	TMS_07832-RA	Tcm_TRINITY_DN102255_c0_g2::Tcm_TRINITY_DN102255_c0_g2_i2::g.6738::m.6738	Tsi_TRINITY_DN8699_c0_g1::Tsi_TRINITY_DN8699_c0_g1_i1::g.6957::m.6957	Tpa_TRINITY_DN138713_c0_g3::Tpa_TRINITY_DN138713_c0_g3_i1::g.4004::m.4004	TGE_02415-RA	Tps_TRINITY_DN91395_c0_g1::Tps_TRINITY_DN91395_c0_g1_i2::g.5769::m.5769	Tdi_TRINITY_DN17845_c0_g1::Tdi_TRINITY_DN17845_c0_g1_i1::g.8306::m.8306
HOG_19150	Tbi_TRINITY_DN69296_c1_g3::Tbi_TRINITY_DN69296_c1_g3_i4::g.5522::m.5522	Tte_TRINITY_DN23550_c0_g1::Tte_TRINITY_DN23550_c0_g1_i2::g.12766::m.12766	TCE_05324-RA	TMS_11092-RA	TCM_09332-RA	TSI_10121-RA	TPA_04265-RA	TGE_06073-RA	TPS_10615-RA	TDI_02234-RA
HOG_3990	TBI_06429-RB	TTE_07990-RA	TCE_06747-RA	TMS_07410-RA	TCM_05621-RA	TSI_07903-RA	TPA_03753-RA	TGE_07614-RA	TPS_06382-RA	TDI_08478-RA
HOG_16671	TBI_01950-RA	TTE_08180-RA	TCE_06341-RA	TMS_03344-RA	TCM_03664-RA	TSI_05345-RA	TPA_01118-RA	TGE_03479-RA	TPS_07899-RA	TDI_08235-RA
HOG_16670	TBI_08072-RA	TTE_11555-RA	TCE_06148-RA	TMS_09836-RA	TCM_13080-RA	TSI_06663-RA	TPA_12109-RA	TGE_11947-RA	TPS_15465-RA	TDI_00410-RA
HOG_17841	TBI_05145-RA	TTE_01812-RA	TCE_04861-RA	TMS_01428-RA	TCM_03926-RA	TSI_04906-RA	TPA_12552-RA	TGE_04632-RA	TPS_02119-RA	TDI_03740-RA
HOG_19710	TBI_04994-RA	TTE_05933-RA	TCE_00537-RA	TMS_10331-RA	TCM_07086-RB	TSI_09766-RA	TPA_01227-RA	TGE_07342-RA	TPS_08177-RA	TDI_01953-RB
HOG_19370	TBI_08850-RA	TTE_07262-RA	TCE_11209-RA	TMS_07012-RA	TCM_09780-RA	TSI_06716-RA	TPA_05892-RA	TGE_08337-RA	TPS_06975-RA	TDI_07829-RA
HOG_16872	TBI_02581-RB	TTE_05015-RA	TCE_10410-RA	TMS_04878-RA	TCM_09666-RA	TSI_08195-RB	TPA_01424-RA	TGE_00873-RA	TPS_07515-RA	TDI_08119-RA
HOG_18245	TBI_02579-RA	TTE_06814-RA	TCE_03356-RA	TMS_04875-RA	TCM_06089-RA	TSI_04536-RA	TPA_01308-RA	TGE_00876-RA	TPS_06392-RA	TDI_09832-RA
HOG_19378	TBI_04635-RA	TTE_09884-RA	TCE_06157-RA	TMS_00530-RA	TCM_01357-RA	TSI_00749-RA	TPA_08625-RA	TGE_00048-RA	TPS_12572-RA	TDI_09001-RA
HOG_22009	TBI_02497-RA	TTE_01066-RA	TCE_02636-RA	TMS_12147-RA	Tcm_TRINITY_DN80973_c0_g1::Tcm_TRINITY_DN80973_c0_g1_i1::g.18006::m.18006	TSI_07195-RA	TPA_15882-RA	TGE_02864-RA	TPS_04769-RA	TDI_04361-RA
HOG_12700	TBI_09293-RA	TTE_08953-RA	TCE_04518-RA	TMS_05034-RA	TCM_07923-RA	TSI_08254-RA	TPA_06744-RA	TGE_08080-RA	TPS_06323-RA	TDI_02395-RA
HOG_22001	TBI_06646-RA	TTE_03709-RA	TCE_05843-RA	TMS_00368-RA	TCM_02196-RA	TSI_09184-RA	TPA_11725-RA	TGE_01561-RA	TPS_00991-RA	TDI_01720-RA
HOG_22002	TBI_03941-RA	TTE_04794-RA	TCE_00389-RA	TMS_00769-RA	TCM_03521-RA	TSI_01103-RA	TPA_00043-RA	TGE_01574-RA	TPS_00657-RA	TDI_00474-RA
HOG_22004	TBI_10396-RA	TTE_09978-RA	TCE_11316-RA	TMS_11326-RA	TCM_10254-RA	TSI_09957-RA	TPA_05280-RA	TGE_09329-RA	TPS_08823-RA	TDI_08389-RA
HOG_23846	TBI_04360-RA	TTE_03081-RA	TCE_11493-RA	TMS_10193-RA	Tcm_TRINITY_DN86911_c0_g1::Tcm_TRINITY_DN86911_c0_g1_i1::g.18588::m.18588	Tsi_TRINITY_DN9602_c0_g1::Tsi_TRINITY_DN9602_c0_g1_i1::g.19963::m.19963	TPA_07569-RA	TGE_03842-RA	TPS_11811-RA	Tdi_TRINITY_DN32494_c0_g1::Tdi_TRINITY_DN32494_c0_g1_i1::g.21091::m.21091
HOG_23847	TBI_09655-RA	Tte_TRINITY_DN30363_c0_g1::Tte_TRINITY_DN30363_c0_g1_i1::g.12291::m.12291	TCE_08878-RA	TMS_09363-RA	Tcm_TRINITY_DN99465_c0_g1::Tcm_TRINITY_DN99465_c0_g1_i4::g.11242::m.11242	Tsi_TRINITY_DN6954_c0_g1::Tsi_TRINITY_DN6954_c0_g1_i1::g.15648::m.15648	TPA_02944-RA	Tge_TRINITY_DN43224_c0_g1::Tge_TRINITY_DN43224_c0_g1_i1::g.11795::m.11795	TPS_11096-RA	TDI_08394-RA
HOG_23843	TBI_01681-RA	TTE_11910-RA	TCE_08774-RA	TMS_03350-RA	TCM_09084-RA	TSI_08437-RA	TPA_07437-RA	TGE_02135-RA	TPS_04313-RA	TDI_04217-RA
HOG_2319	TBI_10120-RA	TTE_08792-RA	TCE_13783-RA	TMS_10259-RA	TCM_07664-RA	TSI_13999-RA	TPA_06197-RA	TGE_10453-RA	TPS_10602-RA	TDI_13804-RA
HOG_4739	TBI_00121-RA	TTE_07013-RA	TCE_03632-RA	TMS_03045-RA	TCM_01295-RA	TSI_00025-RA	TPA_09003-RA	TGE_01142-RA	TPS_07593-RA	TDI_08681-RA
HOG_2312	TBI_00376-RA	TTE_00468-RA	TCE_00274-RA	TMS_00884-RA	TCM_00503-RA	TSI_00072-RA	TPA_00313-RB	TGE_00094-RA	TPS_00079-RA	TDI_00284-RA
HOG_23848	Tbi_TRINITY_DN62397_c0_g2::Tbi_TRINITY_DN62397_c0_g2_i1::g.12675::m.12675	Tte_TRINITY_DN4758_c0_g1::Tte_TRINITY_DN4758_c0_g1_i1::g.22811::m.22811	TCE_10658-RA	TMS_11547-RA	TCM_00085-RA	TSI_13506-RA	TPA_10516-RA	TGE_10473-RA	TPS_14243-RA	TDI_13115-RA
HOG_2311	TBI_11780-RA	TTE_11267-RA	TCE_11689-RA	TMS_10534-RA	Tcm_TRINITY_DN91795_c0_g1::Tcm_TRINITY_DN91795_c0_g1_i1::g.21593::m.21593	TSI_10006-RA	Tpa_TRINITY_DN111985_c0_g1::Tpa_TRINITY_DN111985_c0_g1_i1::g.22100::m.22100	TGE_06392-RA	TPS_06872-RA	TDI_07861-RA
HOG_298	TBI_04898-RA	TTE_05276-RB	TCE_02896-RA	TMS_07986-RA	TCM_11573-RA	TSI_06242-RA	TPA_11538-RA	TGE_05596-RB	TPS_14308-RA	TDI_05879-RA
HOG_299	TBI_04452-RA	TTE_00376-RA	TCE_03079-RA	TMS_00574-RA	TCM_12053-RA	TSI_04722-RA	TPA_01103-RA	TGE_03302-RA	TPS_01826-RA	TDI_00735-RA
HOG_295	Tbi_TRINITY_DN61685_c0_g1::Tbi_TRINITY_DN61685_c0_g1_i1::g.19688::m.19688	Tte_TRINITY_DN17924_c0_g1::Tte_TRINITY_DN17924_c0_g1_i1::g.22935::m.22935	Tce_TRINITY_DN89530_c0_g1::Tce_TRINITY_DN89530_c0_g1_i1::g.18620::m.18620	Tms_TRINITY_DN28845_c0_g1::Tms_TRINITY_DN28845_c0_g1_i1::g.21639::m.21639	Tcm_TRINITY_DN100495_c0_g1::Tcm_TRINITY_DN100495_c0_g1_i2::g.19342::m.19342	TSI_05505-RA	TPA_13599-RA	Tge_TRINITY_DN14647_c0_g1::Tge_TRINITY_DN14647_c0_g1_i1::g.19845::m.19845	TPS_03216-RA	Tdi_TRINITY_DN48609_c0_g1::Tdi_TRINITY_DN48609_c0_g1_i1::g.18816::m.18816
HOG_5859	TBI_01959-RA	TTE_03043-RA	TCE_01690-RA	TMS_06223-RA	TCM_02986-RA	TSI_04320-RA	TPA_13265-RA	TGE_02115-RA	TPS_01002-RA	TDI_03585-RA
HOG_291	Tbi_TRINITY_DN70451_c0_g3::Tbi_TRINITY_DN70451_c0_g3_i6::g.2885::m.2885	Tte_TRINITY_DN4077_c0_g1::Tte_TRINITY_DN4077_c0_g1_i1::g.14210::m.14210	Tce_TRINITY_DN99462_c0_g1::Tce_TRINITY_DN99462_c0_g1_i1::g.6289::m.6289	Tms_TRINITY_DN30992_c0_g4::Tms_TRINITY_DN30992_c0_g4_i1::g.5547::m.5547	Tcm_TRINITY_DN102956_c1_g2::Tcm_TRINITY_DN102956_c1_g2_i1::g.6256::m.6256	Tsi_TRINITY_DN30643_c0_g1::Tsi_TRINITY_DN30643_c0_g1_i1::g.8209::m.8209	Tpa_TRINITY_DN141947_c0_g3::Tpa_TRINITY_DN141947_c0_g3_i2::g.3155::m.3155	Tge_TRINITY_DN46797_c0_g1::Tge_TRINITY_DN46797_c0_g1_i1::g.6756::m.6756	Tps_TRINITY_DN90526_c0_g6::Tps_TRINITY_DN90526_c0_g6_i1::g.5842::m.5842	Tdi_TRINITY_DN30075_c0_g1::Tdi_TRINITY_DN30075_c0_g1_i1::g.4149::m.4149
HOG_17654	TBI_01395-RA	TTE_01823-RA	TCE_02410-RA	TMS_02107-RA	TCM_01282-RA	TSI_00388-RA	TPA_01490-RA	TGE_01180-RA	TPS_01651-RA	TDI_00640-RA
HOG_17656	TBI_09550-RA	TTE_09790-RA	TCE_10874-RA	TMS_12143-RA	TCM_12493-RA	TSI_08129-RA	TPA_04348-RA	TGE_10390-RA	Tps_TRINITY_DN94177_c0_g1::Tps_TRINITY_DN94177_c0_g1_i2::g.8796::m.8796	TDI_10571-RA
HOG_16498	TBI_10636-RA	TTE_08013-RA	TCE_08750-RA	TMS_06638-RA	TCM_07466-RB	TSI_13701-RA	TPA_15968-RA	TGE_04600-RA	TPS_08936-RA	TDI_10231-RA
HOG_17653	TBI_01099-RA	TTE_02346-RA	TCE_09586-RA	TMS_10949-RA	TCM_00978-RA	TSI_00565-RA	TPA_02159-RB	TGE_00883-RA	TPS_00302-RA	TDI_01043-RA
HOG_16493	TBI_04607-RA	TTE_05965-RA	TCE_09820-RA	TMS_09221-RA	TCM_08161-RA	TSI_01776-RA	TPA_01287-RA	TGE_08983-RA	TPS_07308-RA	TDI_07127-RA
HOG_270	TBI_10480-RA	TTE_05774-RA	TCE_09740-RA	TMS_06864-RA	TCM_09072-RA	TSI_12099-RA	TPA_16161-RA	TGE_06588-RA	TPS_09494-RA	TDI_10480-RA
HOG_16252	TBI_03605-RA	TTE_09678-RA	TCE_02506-RA	TMS_07428-RA	TCM_07024-RA	TSI_10257-RA	TPA_04397-RA	TGE_04983-RA	TPS_03792-RB	TDI_05206-RA
HOG_272	TBI_08305-RA	TTE_10929-RA	TCE_07611-RA	TMS_11187-RA	TCM_14516-RA	TSI_11265-RA	TPA_15911-RA	TGE_10333-RA	TPS_15574-RA	TDI_13747-RA
HOG_273	TBI_05616-RA	TTE_02728-RA	TCE_08491-RA	Tms_TRINITY_DN33045_c0_g1::Tms_TRINITY_DN33045_c0_g1_i1::g.21889::m.21889	Tcm_TRINITY_DN58306_c0_g1::Tcm_TRINITY_DN58306_c0_g1_i1::g.16444::m.16444	TSI_04347-RA	TPA_05775-RA	TGE_06085-RA	Tps_TRINITY_DN59469_c0_g2::Tps_TRINITY_DN59469_c0_g2_i1::g.15549::m.15549	TDI_06479-RA
HOG_16257	TBI_02144-RA	TTE_03516-RA	TCE_12204-RA	TMS_04285-RA	Tcm_TRINITY_DN104087_c0_g2::Tcm_TRINITY_DN104087_c0_g2_i1::g.9281::m.9281	TSI_09414-RA	TPA_14310-RA	TGE_05147-RA	TPS_13233-RA	TDI_12999-RA
HOG_16708	TBI_04296-RA	TTE_07159-RA	TCE_03444-RA	TMS_08815-RA	TCM_06647-RA	TSI_07796-RA	TPA_05065-RA	TGE_02969-RA	TPS_08412-RA	TDI_00780-RA
HOG_19975	TBI_01170-RA	TTE_00260-RA	TCE_02738-RA	TMS_00114-RA	TCM_00714-RA	Tsi_TRINITY_DN31551_c0_g1::Tsi_TRINITY_DN31551_c0_g1_i2::g.161::m.161	TPA_00754-RA	TGE_00002-RA	TPS_01246-RA	TDI_00011-RA
HOG_19974	TBI_01409-RA	Tte_TRINITY_DN64849_c0_g1::Tte_TRINITY_DN64849_c0_g1_i1::g.7845::m.7845	TCE_10474-RA	TMS_08898-RA	TCM_04792-RA	TSI_06611-RA	Tpa_TRINITY_DN133444_c0_g1::Tpa_TRINITY_DN133444_c0_g1_i3::g.6107::m.6107	TGE_07555-RA	TPS_05224-RA	TDI_05385-RA
HOG_279	TBI_03488-RA	TTE_05548-RA	TCE_03748-RA	TMS_04588-RA	TCM_03752-RA	TSI_05799-RA	TPA_01245-RA	TGE_08293-RA	TPS_02786-RA	TDI_08180-RA
HOG_16707	TBI_00153-RA	TTE_02437-RA	TCE_04787-RA	TMS_03417-RA	TCM_02716-RA	TSI_04676-RA	TPA_07918-RA	Tge_TRINITY_DN60790_c0_g1::Tge_TRINITY_DN60790_c0_g1_i1::g.11184::m.11184	TPS_03610-RA	TDI_02047-RA
HOG_19978	TBI_07473-RA	TTE_06710-RA	TCE_05140-RA	TMS_08937-RA	TCM_10775-RA	TSI_11290-RA	TPA_10988-RA	TGE_08538-RA	TPS_07666-RA	TDI_10921-RA
HOG_22487	TBI_09987-RA	TTE_09270-RA	TCE_11510-RA	TMS_11499-RA	TCM_08840-RA	TSI_11499-RA	TPA_07697-RA	TGE_10134-RA	TPS_10960-RA	TDI_08695-RA
HOG_962	TBI_03361-RA	TTE_03404-RA	TCE_02928-RA	TMS_04344-RA	TCM_08233-RA	TSI_04959-RA	TPA_07806-RA	TGE_05537-RA	TPS_11175-RA	TDI_11024-RA
HOG_22483	TBI_02486-RA	TTE_02120-RA	TCE_01699-RA	Tms_TRINITY_DN29386_c0_g1::Tms_TRINITY_DN29386_c0_g1_i1::g.17730::m.17730	TCM_02415-RA	TSI_01853-RA	TPA_01739-RA	TGE_02694-RA	TPS_01665-RA	TDI_01016-RA
HOG_1650	TBI_08666-RA	TTE_08036-RA	TCE_04947-RA	TMS_07801-RA	TCM_08277-RA	TSI_08888-RA	TPA_01433-RA	TGE_07525-RB	TPS_08435-RA	TDI_09106-RA
HOG_12012	TBI_08841-RA	TTE_06750-RA	TCE_04665-RA	TMS_10509-RA	TCM_11110-RA	TSI_10821-RA	TPA_02926-RA	TGE_08699-RA	Tps_TRINITY_DN94419_c0_g2::Tps_TRINITY_DN94419_c0_g2_i2::g.6731::m.6731	TDI_09876-RA
HOG_16381	TBI_02345-RA	TTE_08681-RA	TCE_11391-RA	TMS_08565-RA	TCM_01694-RA	TSI_02653-RA	TPA_05101-RA	TGE_05061-RA	TPS_04410-RA	TDI_02427-RA
HOG_2269	TBI_01224-RB	TTE_01732-RA	TCE_00963-RB	TMS_00928-RA	TCM_01379-RA	TSI_00681-RA	TPA_00531-RB	TGE_02434-RA	TPS_00209-RA	TDI_00505-RA
HOG_19572	TBI_01262-RA	TTE_02072-RA	TCE_08125-RA	TMS_07147-RA	TCM_03051-RA	TSI_01679-RA	TPA_08938-RA	TGE_01256-RA	TPS_00516-RA	TDI_00307-RA
HOG_16387	TBI_03721-RA	TTE_02838-RA	TCE_01591-RA	TMS_02489-RA	TCM_05913-RA	TSI_13784-RA	TPA_01114-RA	TGE_02364-RA	TPS_02497-RA	TDI_01156-RA
HOG_17250	TBI_06811-RA	TTE_09245-RA	TCE_08849-RA	TMS_02308-RA	TCM_06797-RA	TSI_07572-RA	TPA_09218-RA	TGE_07668-RA	TPS_07242-RA	TDI_09659-RA
HOG_17251	TBI_02909-RA	TTE_02804-RA	TCE_06217-RA	TMS_03874-RA	TCM_05015-RA	TSI_04357-RA	TPA_16185-RA	TGE_06402-RA	TPS_01901-RA	TDI_01710-RA
HOG_17253	TBI_10528-RA	Tte_TRINITY_DN48554_c0_g1::Tte_TRINITY_DN48554_c0_g1_i1::g.19942::m.19942	TCE_06427-RA	TMS_09408-RA	TCM_10600-RA	TSI_11701-RA	TPA_00835-RA	TGE_07199-RA	TPS_08951-RA	Tdi_TRINITY_DN59942_c0_g1::Tdi_TRINITY_DN59942_c0_g1_i1::g.16628::m.16628
HOG_17254	TBI_03279-RA	TTE_05393-RA	TCE_02253-RA	TMS_05037-RA	TCM_02066-RA	TSI_04364-RA	TPA_02647-RA	TGE_05191-RA	TPS_02290-RA	TDI_01803-RA
HOG_17255	TBI_01165-RA	TTE_00436-RA	TCE_00166-RA	TMS_03129-RA	TCM_04395-RA	TSI_01055-RA	TPA_02128-RA	TGE_00749-RA	TPS_00231-RA	TDI_01675-RA
HOG_17031	TBI_05093-RA	Tte_TRINITY_DN7171_c0_g1::Tte_TRINITY_DN7171_c0_g1_i2::g.3187::m.3187	Tce_TRINITY_DN96371_c0_g1::Tce_TRINITY_DN96371_c0_g1_i1::g.11002::m.11002	TMS_02100-RA	TCM_00323-RA	TSI_00240-RA	TPA_00273-RA	Tge_TRINITY_DN45626_c2_g1::Tge_TRINITY_DN45626_c2_g1_i2::g.10249::m.10249	TPS_06757-RA	TDI_04014-RA
HOG_20746	TBI_06485-RA	TTE_11837-RA	TCE_12737-RA	TMS_03119-RA	TCM_05263-RA	TSI_13096-RA	TPA_04425-RA	TGE_09479-RB	TPS_03589-RB	TDI_11551-RA
